ID,App,Category,Rating,Reviews,Size (MB),Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
1575,Elmo Calls by Sesame Street,FAMILY,3.9,6903,25,"1,000,000+",Free,0,Everyone,Educational;Pretend Play,"January 31, 2018",2.0.7,2.3 and up
1576,Sago Mini Friends,FAMILY,4.4,13155,83,"1,000,000+",Free,0,Everyone,Education;Pretend Play,"June 16, 2016",1.3,4.0.3 and up
1577,Papumba Academy - Fun Learning For Kids,FAMILY,4.4,496,94,"100,000+",Free,0,Everyone,Education;Education,"July 11, 2018",1,4.2 and up
1578,Tee and Mo Bath Time Free,FAMILY,3.6,418,97,"100,000+",Free,0,Everyone,Educational;Education,"November 7, 2016",1.0.3,4.0.3 and up
1579,Bita and the Animals - Pelos Ares,FAMILY,4.4,1160,37,"100,000+",Free,0,Everyone,Education;Music & Video,"May 22, 2013",1,2.2 and up
1580,TO-FU Oh!SUSHI,FAMILY,4.1,59917,92,"5,000,000+",Free,0,Everyone,Education;Pretend Play,"July 31, 2018",2.3,4.4 and up
1581,DreamWorks Friends,FAMILY,3.6,1042,48,"100,000+",Free,0,Everyone,Role Playing;Pretend Play,"August 4, 2017",2.5,4.3 and up
1582,Avokiddo Emotions,FAMILY,4.6,73,12,"1,000+",Paid,$2.99 ,Everyone,Education;Pretend Play,"May 21, 2018",1.7.0,4.0.3 and up
1583,Nighty Night Circus,FAMILY,4.3,382,15,"10,000+",Paid,$2.99 ,Everyone,Education;Action & Adventure,"March 7, 2017",2.6,2.3 and up
1584,Sago Mini Babies,FAMILY,4.5,253,83,"10,000+",Paid,$3.99 ,Everyone,Education;Pretend Play,"October 28, 2016",1.1,4.0.3 and up
1585,Dr. Panda & Toto's Treehouse,FAMILY,4.4,3396,9.5,"50,000+",Paid,$3.99 ,Everyone,Casual;Pretend Play,"December 9, 2014",1.8,4.0 and up
1586,Kids Balloon Pop Game Free 🎈,FAMILY,4.1,38021,19,"10,000,000+",Free,0,Everyone,Casual;Music & Video,"July 6, 2018",18.2,4.0.3 and up
1587,Sounds for Toddlers FREE,FAMILY,4.4,6190,23,"1,000,000+",Free,0,Everyone,Educational;Education,"August 24, 2015",1.7.1,4.0 and up
1588,Elmo Calls by Sesame Street,FAMILY,3.9,6903,25,"1,000,000+",Free,0,Everyone,Educational;Pretend Play,"January 31, 2018",2.0.7,2.3 and up
1589,Sago Mini Friends,FAMILY,4.4,13155,83,"1,000,000+",Free,0,Everyone,Education;Pretend Play,"June 16, 2016",1.3,4.0.3 and up
1590,Papumba Academy - Fun Learning For Kids,FAMILY,4.4,496,94,"100,000+",Free,0,Everyone,Education;Education,"July 11, 2018",1,4.2 and up
1591,Tee and Mo Bath Time Free,FAMILY,3.6,418,97,"100,000+",Free,0,Everyone,Educational;Education,"November 7, 2016",1.0.3,4.0.3 and up
1592,Bita and the Animals - Pelos Ares,FAMILY,4.4,1160,37,"100,000+",Free,0,Everyone,Education;Music & Video,"May 22, 2013",1,2.2 and up
1593,TO-FU Oh!SUSHI,FAMILY,4.1,59917,92,"5,000,000+",Free,0,Everyone,Education;Pretend Play,"July 31, 2018",2.3,4.4 and up
1594,DreamWorks Friends,FAMILY,3.6,1042,48,"100,000+",Free,0,Everyone,Role Playing;Pretend Play,"August 4, 2017",2.5,4.3 and up
1595,Avokiddo Emotions,FAMILY,4.6,73,12,"1,000+",Paid,$2.99 ,Everyone,Education;Pretend Play,"May 21, 2018",1.7.0,4.0.3 and up
1596,Nighty Night Circus,FAMILY,4.3,382,15,"10,000+",Paid,$2.99 ,Everyone,Education;Action & Adventure,"March 7, 2017",2.6,2.3 and up
1597,Sago Mini Babies,FAMILY,4.5,253,83,"10,000+",Paid,$3.99 ,Everyone,Education;Pretend Play,"October 28, 2016",1.1,4.0.3 and up
1598,Dr. Panda & Toto's Treehouse,FAMILY,4.4,3396,9.5,"50,000+",Paid,$3.99 ,Everyone,Casual;Pretend Play,"December 9, 2014",1.8,4.0 and up
1599,ROBLOX,FAMILY,4.5,4450890,67,"100,000,000+",Free,0,Everyone 10+,Adventure;Action & Adventure,"July 31, 2018",2.347.225742,4.1 and up
1600,Barbie Life™,FAMILY,3.9,133117,63,"5,000,000+",Free,0,Everyone,Casual;Pretend Play,"July 12, 2018",2.6,4.1 and up
1601,Baby Panda Care,FAMILY,4.2,108795,49,"10,000,000+",Free,0,Everyone,Educational;Pretend Play,"June 15, 2018",8.25.10.00,4.0.3 and up
1602,Palace Pets in Whisker Haven,FAMILY,4.1,47213,14,"5,000,000+",Free,0,Everyone,Entertainment;Pretend Play,"December 9, 2017",1.8,4.2 and up
1603,Sweet Baby Girl - Dream House and Play Time,FAMILY,3.9,95537,58,"10,000,000+",Free,0,Everyone,Educational;Education,"July 13, 2018",2.2.54,4.4 and up
1604,Monster High™,FAMILY,4.1,66660,22,"5,000,000+",Free,0,Everyone,Casual;Pretend Play,"February 2, 2018",5.2,4.1 and up
1605,Hello Kitty Lunchbox,FAMILY,4.2,51838,15,"5,000,000+",Free,0,Everyone,Casual;Creativity,"November 21, 2017",1.6,4.1 and up
1606,Sweet Baby Girl Newborn Baby,FAMILY,3.8,36028,50,"5,000,000+",Free,0,Everyone,Educational;Education,"July 2, 2018",1.3.51,4.4 and up
1607,COOKING MAMA Let's Cook!,FAMILY,4.3,528745,59,"10,000,000+",Free,0,Everyone,Educational;Pretend Play,"July 26, 2018",1.38.0,4.1 and up
1608,Shopkins World!,FAMILY,4.3,169609,34,"10,000,000+",Free,0,Everyone,Arcade;Action & Adventure,"June 13, 2018",3.6.1,4.1 and up
1609,Ever After High™ Charmed Style,FAMILY,3.9,44062,54,"1,000,000+",Free,0,Everyone,Casual;Pretend Play,"December 30, 2016",1.3,4.0.3 and up
1610,Equestria Girls,FAMILY,4.3,392596,53,"10,000,000+",Free,0,Everyone,Role Playing;Action & Adventure,"July 22, 2016",37893,4.0 and up
1611,Frozen Free Fall,FAMILY,4.3,1574204,37,"50,000,000+",Free,0,Everyone,Puzzle;Action & Adventure,"July 27, 2018",6.7.0,4.2 and up
1612,Nick,FAMILY,4.2,123322,25,"10,000,000+",Free,0,Everyone 10+,Entertainment;Music & Video,"January 24, 2018",2.0.8,4.4 and up
1613,Thomas & Friends: Race On!,FAMILY,4.1,29319,26,"5,000,000+",Free,0,Everyone,Casual;Action & Adventure,"May 18, 2018",2.4,4.4 and up
1614,Mad Libs,FAMILY,4,8126,61,"1,000,000+",Free,0,Everyone,Entertainment;Brain Games,"July 31, 2018",1.1.1,6.0 and up
1615,Inside Out Thought Bubbles,FAMILY,4.4,623398,58,"10,000,000+",Free,0,Everyone,Puzzle;Brain Games,"August 31, 2017",1.22.0,4.0.3 and up
1616,ABCmouse.com,FAMILY,4.3,50887,91,"5,000,000+",Free,0,Everyone,Education;Education,"July 3, 2018",7.2.0,4.4 and up
1617,My Little Pony Celebration,FAMILY,4.3,63160,17,"1,000,000+",Free,0,Everyone,Simulation;Pretend Play,"July 22, 2016",1.0.0,2.3 and up
1618,Sago Mini Friends,FAMILY,4.4,13155,83,"1,000,000+",Free,0,Everyone,Education;Pretend Play,"June 16, 2016",1.3,4.0.3 and up
1619,Thomas & Friends: Delivery,FAMILY,4.2,28737,17,"1,000,000+",Free,0,Everyone,Casual;Action & Adventure,"February 5, 2016",1,2.3 and up
1620,Nasty Goats,FAMILY,4.3,45579,64,"1,000,000+",Free,0,Everyone,Arcade;Action & Adventure,"April 14, 2016",1.1.0,4.0 and up
1621,Starfall Free & Member,FAMILY,4.2,19720,41,"1,000,000+",Free,0,Everyone,Education;Education,"November 7, 2017",1.35.23,4.0 and up
1622,Animal Jam - Play Wild!,FAMILY,4.6,361970,58,"5,000,000+",Free,0,Everyone,Casual;Pretend Play,"August 2, 2018",28.0.14,4.1 and up
1623,Video Editor,FAMILY,4.1,159619,23,"5,000,000+",Free,0,Everyone,Video Players & Editors;Creativity,"July 17, 2018",6.14.091,4.3 and up
1624,Real Racing 3,FAMILY,4.5,354384,71,"10,000,000+",Free,0,Everyone,Racing;Action & Adventure,"July 2, 2018",6.4.0,4.1 and up
1625,Card Wars - Adventure Time,FAMILY,4.3,129603,23,"1,000,000+",Paid,$2.99 ,Everyone 10+,Card;Action & Adventure,"February 11, 2016",1.11.0,2.3.3 and up
1626,Monash Uni Low FODMAP Diet,MEDICAL,4.2,1135,12,"100,000+",Paid,$9.00 ,Everyone,Medical,"July 16, 2018",2.0.7,4.0 and up
1627,iBP Blood Pressure,MEDICAL,4.4,578,0.704,"10,000+",Paid,$0.99 ,Everyone,Medical,"November 30, 2014",7.0.1,2.2 and up
1628,Pedi STAT,MEDICAL,4.6,129,2.9,"10,000+",Paid,$5.49 ,Everyone,Medical,"April 6, 2018",3.0.1.0,4.1 and up
1629,ASCCP Mobile,MEDICAL,4.5,63,25,"10,000+",Paid,$9.99 ,Everyone,Medical,"October 3, 2016",2.1.1,2.2 and up
1630,Paramedic Protocol Provider,MEDICAL,4.5,171,20,"10,000+",Paid,$10.00 ,Everyone 10+,Medical,"September 21, 2017",1.8.3,4.1 and up
1631,MommyMeds,MEDICAL,3.2,45,21,"5,000+",Paid,$3.99 ,Everyone,Medical,"November 15, 2017",2.0.1,6.0 and up
1632,Medical ID - In Case of Emergency (ICE),MEDICAL,4.6,717,5.4,"5,000+",Paid,$5.99 ,Everyone,Medical,"May 31, 2018",6.5.0,5.0 and up
1633,Human Anatomy Atlas 2018: Complete 3D Human Body,MEDICAL,4.5,2921,25,"100,000+",Paid,$24.99 ,Everyone,Medical,"May 25, 2018",2018.5.47,5.0 and up
1634,Essential Anatomy 3,MEDICAL,4.1,1533,42,"50,000+",Paid,$11.99 ,Mature 17+,Medical,"August 7, 2014",1.1.3,4.0.3 and up
1635,Vargo Anesthesia Mega App,MEDICAL,4.6,92,32,"1,000+",Paid,$79.99 ,Everyone,Medical,"June 18, 2018",19,4.0.3 and up
1636,EMT Review Plus,MEDICAL,4.5,199,1.8,"10,000+",Paid,$11.99 ,Everyone,Medical,"June 27, 2018",3.0.5,4.4W and up
1637,Muscle Trigger Point Anatomy,MEDICAL,4.4,1361,33,"50,000+",Paid,$2.99 ,Everyone,Medical,"July 17, 2018",2.4.4,4.0.3 and up
1638,2017 EMRA Antibiotic Guide,MEDICAL,4.4,12,3.8,"1,000+",Paid,$16.99 ,Everyone,Medical,"January 27, 2017",1.0.5,4.0.3 and up
1639,ASRA Coags,MEDICAL,4.4,15,5.8,"1,000+",Paid,$3.99 ,Everyone,Medical,"August 1, 2018",2.1,4.1 and up
1640,IBM Micromedex Drug Info,MEDICAL,3.8,206,9.5,"10,000+",Paid,$2.99 ,Everyone,Medical,"April 25, 2018",1.17.0,4.0 and up
1641,Diabetes & Diet Tracker,MEDICAL,4.6,395,19,"1,000+",Paid,$9.99 ,Everyone,Medical,"July 16, 2018",6.5.1,5.0 and up
1642,Block Buddy,MEDICAL,4,15,5,"1,000+",Paid,$14.99 ,Everyone,Medical,"August 1, 2018",7.6.14,4.0 and up
1643,Super Hearing Secret Voices Recorder PRO,MEDICAL,5,3,23,100+,Paid,$2.99 ,Everyone,Medical,"April 20, 2018",1,4.1 and up
1644,EMT Study - NREMT Test Prep,MEDICAL,4.3,35,0.862,"5,000+",Paid,$3.99 ,Everyone,Medical,"December 3, 2014",1.1,4.0.3 and up
1645,Calcium Pro,MEDICAL,3.4,77,9.9,"5,000+",Paid,$2.99 ,Everyone,Medical,"April 18, 2017",1.6.2,4.0.3 and up
1646,EMT PASS,MEDICAL,3.4,51,2.4,"1,000+",Paid,$29.99 ,Everyone,Medical,"October 22, 2014",2.0.2,4.0 and up
1647,Pocket Lab Values,MEDICAL,4.3,214,0.899,"10,000+",Paid,$2.99 ,Everyone,Medical,"November 22, 2012",2.5,2.1 and up
1648,Medical terms (OFFLINE),MEDICAL,4.4,104,38,"1,000+",Paid,$2.99 ,Teen,Medical,"May 24, 2018",3.2.0,4.1 and up
1649,"Cardiac diagnosis (heart rate, arrhythmia)",MEDICAL,4.4,8,6.5,100+,Paid,$12.99 ,Everyone,Medical,"July 25, 2018",7,3.0 and up
1650,ERres- Emergency Medicine,MEDICAL,4.2,45,14,"1,000+",Paid,$4.99 ,Everyone,Medical,"August 18, 2015",6,4.0 and up
1651,FHR 5-Tier 2.0,MEDICAL,5,2,1.2,500+,Paid,$2.99 ,Everyone,Medical,"December 16, 2015",1,4.0 and up
1652,AnatomyMapp,MEDICAL,4.1,80,48,"5,000+",Paid,$14.99 ,Everyone,Medical,"November 5, 2013",1,3.0 and up
1653,OptoDrum,MEDICAL,3.9,10,0.378,"1,000+",Paid,$5.99 ,Everyone,Medical,"May 26, 2015",1,3.0 and up
1654,"Migraine, Headache Diary HeadApp Pro",MEDICAL,4.6,156,22,500+,Paid,$3.49 ,Everyone,Medical,"March 14, 2018",1.10.0.user.pro.release,4.4 and up
1655,Blood Pressure Companion,MEDICAL,4.2,178,4.8,"1,000+",Paid,$0.99 ,Everyone,Medical,"July 22, 2018",4.1.5 (Steglitz),4.1 and up
1656,"Muscle Premium - Human Anatomy, Kinesiology, Bones",MEDICAL,4.2,168,25,"10,000+",Paid,$24.99 ,Everyone,Medical,"August 11, 2017",7.1.17,4.4 and up
1657,CCHT PREP,MEDICAL,3.6,25,0.266,"1,000+",Paid,$10.99 ,Everyone,Medical,"December 8, 2016",1.2,2.1 and up
1658,Paramedic Meds,MEDICAL,4.5,163,0.375,"10,000+",Paid,$1.99 ,Everyone,Medical,"August 3, 2015",3.4.3,1.6 and up
1659,OmniMedix Medical Calculator,MEDICAL,4.7,25,1.2,"1,000+",Paid,$4.99 ,Everyone,Medical,"June 11, 2016",3.1.6,3.0 and up
1660,Lab Values + Medical Reference,MEDICAL,4.5,133,2.8,"10,000+",Paid,$2.99 ,Everyone,Medical,"August 2, 2014",3,2.3 and up
1661,Recognise Foot,MEDICAL,4.2,9,95,"1,000+",Paid,$7.49 ,Everyone,Medical,"September 14, 2017",1.0.3,4.1 and up
1662,Anti Mosquito simulation,MEDICAL,4.2,74,2.6,"1,000+",Paid,$1.50 ,Everyone,Medical,"September 6, 2014",1,2.3.3 and up
1663,Pain Tracker & Diary,MEDICAL,4.3,3,4.6,100+,Paid,$2.99 ,Everyone,Medical,"January 2, 2018",1.5,4.1 and up
1664,Whist - Tinnitus Relief,MEDICAL,4.1,12,5.1,"1,000+",Paid,$1.99 ,Everyone,Medical,"March 2, 2017",1.2,4.1 and up
1665,Critical Care Paramedic Review,MEDICAL,4.4,17,1.8,"1,000+",Paid,$9.99 ,Everyone 10+,Medical,"May 14, 2018",2.0.5,4.4W and up
1666,"End Anxiety Pro - Stress, Panic Attack Help",MEDICAL,4.2,33,53,"1,000+",Paid,$3.99 ,Everyone,Medical,"May 8, 2018",2.29,4.2 and up
1667,Acupuncture Assistant,MEDICAL,4.5,492,39,"10,000+",Paid,$7.99 ,Everyone,Medical,"April 13, 2018",4.4.5,4.1 and up
1668,InfantRisk Center HCP,MEDICAL,2.6,41,14,"1,000+",Paid,$9.99 ,Everyone,Medical,"May 6, 2015",1.3.4,2.3.3 and up
1669,EMT Tutor NREMT-B Study Guide,MEDICAL,4.6,625,8.4,"10,000+",Paid,$3.99 ,Everyone,Medical,"January 8, 2017",2.1,2.1 and up
1670,Hospitalist Handbook,MEDICAL,4.8,12,18,"1,000+",Paid,$19.99 ,Everyone,Medical,"June 5, 2017",6.0.4,4.1 and up
1671,PTA Content Master,MEDICAL,4.2,64,41,"1,000+",Paid,$29.99 ,Everyone,Medical,"December 22, 2015",2.1,2.2 and up
1672,Navi Radiography Pro,MEDICAL,4.7,11,100,500+,Paid,$15.99 ,Everyone,Medical,"January 14, 2018",1.2.0,4.0.3 and up
1673,Nursing Care Plan NANDA Tables,MEDICAL,3,4,3.4,500+,Paid,$0.99 ,Everyone,Medical,"May 9, 2017",1,2.3.3 and up
1674,A Manual of Acupuncture,MEDICAL,3.5,214,68,"1,000+",Paid,$33.99 ,Everyone,Medical,"October 2, 2017",2.1.35,4.0 and up
1675,palmPEDi: Pediatric Tape,MEDICAL,4.6,66,2.6,"5,000+",Paid,$0.99 ,Everyone,Medical,"December 2, 2013",4.1,3.2 and up
1676,GoodRx Drug Prices and Coupons,MEDICAL,4.8,59158,11,"1,000,000+",Free,0,Everyone,Medical,"July 26, 2018",5.4.8,4.1 and up
1677,FollowMyHealth®,MEDICAL,4.6,73118,37,"1,000,000+",Free,0,Everyone,Medical,"May 10, 2018",3.3,4.4 and up
1678,Ovia Pregnancy Tracker & Baby Countdown Calendar,MEDICAL,4.8,102858,9.8,"1,000,000+",Free,0,Everyone,Medical,"August 3, 2018",2.2.4,4.3 and up
1679,Teladoc Member,MEDICAL,4,2094,23,"500,000+",Free,0,Everyone,Medical,"July 26, 2018",3.19,4.3 and up
1680,myAir™ for Air10™ by ResMed,MEDICAL,3.7,236,18,"50,000+",Free,0,Everyone,Medical,"July 25, 2018",1.1.0.0.1487,5.0 and up
1681,Blood Pressure,MEDICAL,4.2,33033,7.4,"5,000,000+",Free,0,Everyone,Medical,"July 24, 2018",3.27.3,4.1 and up
1682,Pregnancy Week By Week,MEDICAL,4.8,78825,11,"1,000,000+",Free,0,Everyone,Medical,"August 2, 2018",1.2.16,4.1 and up
1683,BioLife Plasma Services,MEDICAL,3.5,250,23,"100,000+",Free,0,Everyone,Medical,"July 9, 2018",1.2.0,4.4 and up
1684,OneTouch Reveal,MEDICAL,3.9,6266,34,"500,000+",Free,0,Everyone,Medical,"May 22, 2018",3.5,5.1 and up
1685,To,MEDICAL,4.2,22,15,"10,000+",Free,0,Everyone,Medical,"May 30, 2018",Varies with device,Varies with device
1686,Ovia Fertility Tracker & Ovulation Calculator,MEDICAL,4.8,53743,13,"1,000,000+",Free,0,Everyone,Medical,"July 27, 2018",Varies with device,4.3 and up
1687,Anthem Anywhere,MEDICAL,2.7,2657,24,"500,000+",Free,0,Everyone,Medical,"July 27, 2018",8.0.226,4.4 and up
1688,Blood Donor,MEDICAL,4.2,4476,20,"500,000+",Free,0,Everyone,Medical,"July 31, 2018",1.6.2,4.1 and up
1689,My Calendar - Period Tracker,MEDICAL,4.7,156410,14,"5,000,000+",Free,0,Everyone,Medical,"August 3, 2018",5.9.6,4.1 and up
1690,Youper - AI Therapy,MEDICAL,4.6,2006,69,"50,000+",Free,0,Everyone,Medical,"August 3, 2018",6.02.000,6.0 and up
1691,Zocdoc: Find Doctors & Book Appointments,MEDICAL,4.5,6099,38,"500,000+",Free,0,Everyone,Medical,"July 31, 2018",3.18.2,4.3 and up
1692,1800 Contacts - Lens Store,MEDICAL,4.7,23160,26,"1,000,000+",Free,0,Everyone,Medical,"July 27, 2018",7.4.1,5.0 and up
1693,Blood Pressure Log - MyDiary,MEDICAL,4.7,8348,2.6,"500,000+",Free,0,Everyone,Medical,"April 13, 2018",1.4.6,4.0 and up
1694,PulsePoint Respond,MEDICAL,4.5,7837,21,"100,000+",Free,0,Everyone,Medical,"July 31, 2018",2.4,4.1 and up
1695,Ovia Parenting & Baby Development Tracker,MEDICAL,4.7,6185,38,"100,000+",Free,0,Everyone,Medical,"August 3, 2018",1.2.0,4.3 and up
1696,MyQuest for Patients,MEDICAL,4,3803,16,"100,000+",Free,0,Everyone,Medical,"March 13, 2018",2.17,4.0 and up
1697,OptumRx,MEDICAL,3.4,1838,21,"100,000+",Free,0,Everyone,Medical,"July 2, 2018",2.11.0,4.0.3 and up
1698,CVS Caremark,MEDICAL,3.5,3707,10,"500,000+",Free,0,Everyone,Medical,"July 28, 2018",4.36,4.4 and up
1699,fred's Pharmacy,MEDICAL,3,315,22,"100,000+",Free,0,Everyone,Medical,"October 10, 2017",1.0.02,4.0 and up
1700,Ada - Your Health Guide,MEDICAL,4.7,87418,14,"1,000,000+",Free,0,Everyone,Medical,"July 16, 2018",2.25.0,4.4 and up
1701,mySugr: the blood sugar tracker made just for you,MEDICAL,4.6,21189,36,"1,000,000+",Free,0,Everyone,Medical,"August 6, 2018",3.52.1,5.0 and up
1702,ClearCareGo Caregiver,MEDICAL,4.2,1746,16,"50,000+",Free,0,Everyone,Medical,"July 25, 2018",2.1.3,4.1 and up
1703,Pregnancy Calculator and Tracker app,MEDICAL,4.8,69126,61,"1,000,000+",Free,0,Everyone,Medical,"June 1, 2018",2.6.1,4.1 and up
1704,All Mental disorders,MEDICAL,4.5,453,11,"100,000+",Free,0,Everyone,Medical,"July 7, 2017",1.1,4.0.3 and up
1705,DreamMapper,MEDICAL,4.2,10710,8.5,"100,000+",Free,0,Everyone,Medical,"July 3, 2018",2.15,5.0 and up
1706,ScriptSave WellRx Rx Discounts,MEDICAL,3.8,700,37,"100,000+",Free,0,Everyone,Medical,"June 21, 2018",3.3.0,4.4 and up
1707,MoodSpace,MEDICAL,4.5,503,22,"50,000+",Free,0,Everyone,Medical,"June 10, 2018",3.2.4,5.0 and up
1708,Pill Identifier and Drug list,MEDICAL,4,488,17,"100,000+",Free,0,Everyone,Medical,"August 1, 2018",3.8,4.1 and up
1709,HealtheLife,MEDICAL,3.6,190,7.7,"100,000+",Free,0,Everyone,Medical,"January 2, 2018",2.4.0,4.4 and up
1710,SonicCloud: Hearing App,MEDICAL,4.4,15,39,"1,000+",Free,0,Everyone,Medical,"July 19, 2018",1.16.0,4.1 and up
1711,Migraine Buddy - The Migraine and Headache tracker,MEDICAL,4.7,26862,30,"500,000+",Free,0,Everyone,Medical,"June 25, 2018",25.3.1,4.0.3 and up
1712,Period Tracker,MEDICAL,4.9,100082,3.7,"1,000,000+",Free,0,Everyone,Medical,"July 9, 2018",1.2.2,4.1 and up
1713,LabCorp | Patient,MEDICAL,3.6,27,28,"10,000+",Free,0,Everyone,Medical,"April 19, 2018",1.0.0,4.1 and up
1714,Anatomy Learning - 3D Atlas,MEDICAL,4.5,72167,16,"1,000,000+",Free,0,Everyone,Medical,"July 18, 2018",2,4.1 and up
1715,Super Hearing Super Ear Amplifier,MEDICAL,4.1,21,20,"1,000+",Free,0,Everyone,Medical,"June 11, 2018",1.1,4.1 and up
1716,Moodpath - Depression & Anxiety Test,MEDICAL,4.6,6035,8.9,"100,000+",Free,0,Everyone,Medical,"July 5, 2018",1.2.0,4.4 and up
1717,Teach Me Anatomy,MEDICAL,4.7,9945,97,"500,000+",Free,0,Everyone,Medical,"July 5, 2018",5.11,4.1 and up
1718,Baritastic - Bariatric Tracker,MEDICAL,4.7,4318,12,"100,000+",Free,0,Everyone,Medical,"July 26, 2018",1.3.185,4.1 and up
1719,Brilliant Distinctions®,MEDICAL,2.8,78,72,"50,000+",Free,0,Everyone,Medical,"June 27, 2018",2.2.12,4.4 and up
1720,98point6,MEDICAL,4.6,47,21,"10,000+",Free,0,Everyone,Medical,"August 2, 2018",1.7.1 (946),5.0 and up
1721,MDLIVE: Talk to a Doctor 24/7,MEDICAL,3.4,650,27,"100,000+",Free,0,Everyone,Medical,"July 23, 2018",4.23.0,4.4 and up
1722,Super Ear,MEDICAL,4,3498,6.6,"100,000+",Free,0,Everyone,Medical,"May 1, 2018",1.7.2,4.0 and up
1723,VitusVet: Pet Health Care App,MEDICAL,4.8,3052,12,"100,000+",Free,0,Everyone,Medical,"July 31, 2018",3.8.0,4.1 and up
1724,Banfield Pet Health Tracker,MEDICAL,4.2,1747,5.9,"100,000+",Free,0,Everyone,Medical,"October 17, 2016",1.2.2,4.0 and up
1725,Dexcom G6,MEDICAL,3,45,20,"5,000+",Free,0,Everyone,Medical,"July 16, 2018",1.2.3.2,6.0 and up
1726,Nurse Grid,MEDICAL,4.5,1686,15,"100,000+",Free,0,Everyone,Medical,"July 30, 2018",2.9,4.4 and up
1727,Castlight Mobile,MEDICAL,3.7,529,26,"100,000+",Free,0,Everyone,Medical,"July 30, 2018",4.4.7,5.0 and up
1728,Sanford Guide:Antimicrobial Rx,MEDICAL,4.5,1388,3.3,"100,000+",Free,0,Everyone,Medical,"July 3, 2018",2.1.11,4.1 and up
1729,Davis's Drug Guide for Nurses,MEDICAL,4.5,572,44,"50,000+",Free,0,Everyone,Medical,"July 13, 2018",4.3.2.315,4.4 and up
1730,Vargo Anesthesia Mega App,MEDICAL,4.6,92,32,"1,000+",Paid,$79.99 ,Everyone,Medical,"June 18, 2018",19,4.0.3 and up
1731,Monash Uni Low FODMAP Diet,MEDICAL,4.2,1135,12,"100,000+",Paid,$9.00 ,Everyone,Medical,"July 16, 2018",2.0.7,4.0 and up
1732,mySugr: the blood sugar tracker made just for you,MEDICAL,4.6,21189,36,"1,000,000+",Free,0,Everyone,Medical,"August 6, 2018",3.52.1,5.0 and up
1733,live Point,MEDICAL,3.6,54,17,"5,000+",Free,0,Mature 17+,Medical,"July 3, 2018",2.6.5,4.1 and up
1734,Tarascon Pharmacopoeia,MEDICAL,4.4,275,5.8,"10,000+",Free,0,Everyone 10+,Medical,"March 16, 2018",3.16.4.1669,4.4 and up
1735,Official NBSTSA CST Exam Prep,MEDICAL,4.4,2159,11,"10,000+",Free,0,Everyone,Medical,"May 17, 2018",4.5.1,4.4 and up
1736,EMT-B Pocket Prep,MEDICAL,4.5,2951,16,"50,000+",Free,0,Everyone,Medical,"July 11, 2018",4.5.2,4.4 and up
1737,Human Anatomy Atlas 2018: Complete 3D Human Body,MEDICAL,4.5,2921,25,"100,000+",Paid,$24.99 ,Everyone,Medical,"May 25, 2018",2018.5.47,5.0 and up
1738,5-Minute Clinical Consult,MEDICAL,4.1,84,6.1,"10,000+",Free,0,Everyone,Medical,"December 11, 2017",2.7.36,4.1 and up
1739,"Pzizz - Sleep, Nap, Focus",MEDICAL,4.3,5521,22,"100,000+",Free,0,Everyone,Medical,"July 1, 2018",4.9.6,4.1 and up
1740,HESI A2 Pocket Prep,MEDICAL,4.3,2108,28,"50,000+",Free,0,Everyone,Medical,"May 2, 2018",4.5.1,4.4 and up
1741,Johns Hopkins Guides ABX...,MEDICAL,4.7,73,6.3,"10,000+",Free,0,Everyone,Medical,"December 8, 2017",2.7.36,4.1 and up
1742,ASCCP Mobile,MEDICAL,4.5,63,25,"10,000+",Paid,$9.99 ,Everyone,Medical,"October 3, 2016",2.1.1,2.2 and up
1743,FP Notebook,MEDICAL,4.5,408,60,"50,000+",Free,0,Everyone,Medical,"March 24, 2018",2.1.0.372,4.4 and up
1744,Paramedic Protocol Provider,MEDICAL,4.5,171,20,"10,000+",Paid,$10.00 ,Everyone 10+,Medical,"September 21, 2017",1.8.3,4.1 and up
1745,5 Minute Clinical Consult 2019 - #1 for 25 years,MEDICAL,4.2,33,8,"10,000+",Free,0,Everyone,Medical,"May 2, 2018",2.6.2,4.2 and up
1746,Open Sesame - Touch Free Control,MEDICAL,4.4,197,20,"10,000+",Free,0,Everyone,Medical,"August 2, 2018",3.5.7,7.0 and up
1747,Davis's Drug Guide,MEDICAL,3.9,272,6.4,"50,000+",Free,0,Everyone,Medical,"December 11, 2017",2.7.36,4.1 and up
1748,Deep Sleep and Relax Hypnosis,MEDICAL,4.2,4852,34,"100,000+",Free,0,Everyone,Medical,"October 22, 2013",1.3,2.2 and up
1749,2017 EMRA Antibiotic Guide,MEDICAL,4.4,12,3.8,"1,000+",Paid,$16.99 ,Everyone,Medical,"January 27, 2017",1.0.5,4.0.3 and up
1750,Essential Anatomy 3,MEDICAL,4.1,1533,42,"50,000+",Paid,$11.99 ,Mature 17+,Medical,"August 7, 2014",1.1.3,4.0.3 and up
1751,EMT PASS,MEDICAL,3.4,51,2.4,"1,000+",Paid,$29.99 ,Everyone,Medical,"October 22, 2014",2.0.2,4.0 and up
1752,Christella VoiceUp,MEDICAL,4.1,38,70,"5,000+",Free,0,Everyone,Medical,"July 12, 2018",2.1.4,4.1 and up
